mount_id,name_vn,name_cn,name_e,object_data_id,object_status,image_status,preview,evidence
m900015#1,Huyền Vũ,玄武,Black Tortoise,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900016,Thanh Long,青龙,Azure Dragon,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900016#1,Thanh Long,青龙,Azure Dragon,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900017,Bạch Hổ,白虎,White Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900017#1,Bạch Hổ,白虎,White Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900018,Bích Thủy Kim Tinh Thú,碧水金睛兽,Jade-Water Golden-Eye Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900018#1,Bích Thủy Kim Tinh Thú,碧水金睛兽,Jade-Water Golden-Eye Beast,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900019,Cơ Khí Thanh Oa,机械青蛙,Mech Frog,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900019#1,Cơ Khí Thanh Oa,机械青蛙,Mech Frog,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900020,Hổ Cuồng Chiến,狂战虎,Berserk Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900020#1,Hổ Cuồng Chiến,狂战虎,Berserk Tiger,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900021,Cửu Sắc Lộc,九色鹿,Nine-Colored Deer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900021#1,Cửu Sắc Lộc,九色鹿,Nine-Colored Deer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900022,Băng Long,冰龙,Ice Dragon,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900022#1,Băng Long,冰龙,Ice Dragon,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900023,Cửu Vĩ Yêu Hồ,九尾妖狐,Nine-Tailed Fox,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900023#1,Cửu Vĩ Yêu Hồ,九尾妖狐,Nine-Tailed Fox,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900024,Cừu Xanh Lam,青蓝羊,Cyan Sheep,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900024#1,Cừu Xanh Lam,青蓝羊,Cyan Sheep,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900025,Độc Giác Tê,独角犀,Unicorn Rhino,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900025#1,Độc Giác Tê,独角犀,Unicorn Rhino,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900026,Phượng Hoàng,凤凰,Phoenix,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900026#1,Phượng Hoàng,凤凰,Phoenix,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900027,Phượng Hoàng Lửa,火凤凰,Fire Phoenix,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900027#1,Phượng Hoàng Lửa,火凤凰,Fire Phoenix,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900028,Kim Tình Long Ngư,金睛龙鱼,Golden-Eye Dragon Fish,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900028#1,Kim Tình Long Ngư,金睛龙鱼,Golden-Eye Dragon Fish,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900029,Thiên Lý Độc Hành,千里独行,Lone Rider,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900029#1,Thiên Lý Độc Hành,千里独行,Lone Rider,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900030,Kim Tượng,金象,Golden Elephant,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900030#1,Kim Tượng,金象,Golden Elephant,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900031,Kỳ Lân,麒麟,Qilin,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900031#1,Kỳ Lân,麒麟,Qilin,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900032,Hỏa Kỳ Lân,火麒麟,Fire Qilin,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900032#1,Hỏa Kỳ Lân,火麒麟,Fire Qilin,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900033,Máy Bay,飞机,Airplane,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900033#1,Máy Bay,飞机,Airplane,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900034,Tiên Hạc,仙鹤,Immortal Crane,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900034#1,Tiên Hạc,仙鹤,Immortal Crane,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900035,Tình Thiên Tiểu Trư,情天小猪,Love Piglet,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900035#1,Tình Thiên Tiểu Trư,情天小猪,Love Piglet,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900036,Truy Vân Xích Thố,追云赤兔,Cloud-Chasing Red Hare,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900036#1,Truy Vân Xích Thố,追云赤兔,Cloud-Chasing Red Hare,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900037,Tứ Bất Tượng,四不像,Four Dissimilar,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900037#1,Tứ Bất Tượng,四不像,Four Dissimilar,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900038,Tử Mang Phá Thiên Phú,紫蟒破天蝠,Purple Python Sky Bat,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900038#1,Tử Mang Phá Thiên Phú,紫蟒破天蝠,Purple Python Sky Bat,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900039,Tuần Lộc,驯鹿,Reindeer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900039#1,Tuần Lộc,驯鹿,Reindeer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900040,Tuần Lộc Giáng Sinh,圣诞驯鹿,Christmas Reindeer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900040#1,Tuần Lộc Giáng Sinh,圣诞驯鹿,Christmas Reindeer,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900041,U Ngục Chiến Lang,幽狱战狼,Abyss War Wolf,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900041#1,U Ngục Chiến Lang,幽狱战狼,Abyss War Wolf,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900042,Vũ Sư,舞狮,Lion Dance,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900042#1,Vũ Sư,舞狮,Lion Dance,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900043,Yến Vĩ Điệp,燕尾蝶,Swallowtail Butterfly,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900043#1,Yến Vĩ Điệp,燕尾蝶,Swallowtail Butterfly,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900044,Ma Thảm,魔毯,Magic Carpet,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900044#1,Ma Thảm,魔毯,Magic Carpet,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900045,Phi Lai Thạch,飞来石,Flying Rock,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900045#1,Phi Lai Thạch,飞来石,Flying Rock,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900046,Sen Bảy Màu,七彩莲,Seven-Color Lotus,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900046#1,Sen Bảy Màu,七彩莲,Seven-Color Lotus,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900047,Tiểu Bạch Vân,小白云,Little White Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900047#1,Tiểu Bạch Vân,小白云,Little White Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900048,Bát Quái Bàn,八卦盘,Bagua Disk,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900048#1,Bát Quái Bàn,八卦盘,Bagua Disk,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900049,Quạt Ba Tiêu,芭蕉扇,Banana Leaf Fan,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900049#1,Quạt Ba Tiêu,芭蕉扇,Banana Leaf Fan,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900050,Cân Đẩu Vân,筋斗云,Somersault Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900050#1,Cân Đẩu Vân,筋斗云,Somersault Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900051,Bạch Vân,白云,White Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900051#1,Bạch Vân,白云,White Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900052,Phong Thủy Bàn,风水盘,Feng Shui Disk,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900052#1,Phong Thủy Bàn,风水盘,Feng Shui Disk,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900053,Tiểu Lân Vân,小麟云,Little Qilin Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900053#1,Tiểu Lân Vân,小麟云,Little Qilin Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900054,Mây Ngũ Sắc,五色云,Five-Color Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
m900054#1,Mây Ngũ Sắc,五色云,Five-Color Cloud,,UNKNOWN,UNKNOWN,,zsmount_language.dat name; appearance object is packet setHorse(objectDataId); fallback obj 1104; fallback_obj_1104_preview=catalog_previews/obj_1104_img_1103.png
