model_id,name_vn,name_cn,name_e,object_data_id,object_status,image_status,preview,evidence
n420110,Mộ Dung Yên,慕容烟,Mou Rong Yan,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420111,Kỹ Năng Pháp Bảo,法宝技能,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420112,Hoa Hải Tiên Tử,花海仙子,Flower Sea Fairy,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420113,Nhất Hành,一行,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420114,Lương Quan Mão Điền,梁官茂田,Grain Official Mao Tian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420115,Nguyệt Lão,月老,Matchmaker,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420116,Hoàng Thủ Tài,黄守财,Flower Farmer Huang Shoucai,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420117,Lưu Nhan,刘颜,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420118,Trương Giác,张角,Passerby Zhang Jiao,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420119,Bàng Xúc,庞触,Doctor Pang Chu,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420120,Tiên Nhân Độ Kiếp,渡劫仙人,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420121,Chủ Tiệm Tinh Thạch,晶石店老板,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420122,Quản Lý Bang Hội,帮会管理员,Guild Manager Fan Zhong,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420123,Sứ Giả Ảo Cảnh Tru Tiên,诛仙幻境使者,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420124,Dịch Thừa,驿丞,Yi Cheng,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420125,Liên Súc,连肃,Hunter Lian Xu,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420126,Vương Anh,王英,Wang Ying,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420127,Tổng Quản Bang Chiến,帮战总管,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420128,Ti Đồ Vân,司徒云,Si Tu Yun,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420129,Đại Tế Tự Triệu Quyết,大祭司赵决,High Priest Zhao Jue,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420130,Giang Dương,江洋,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420131,Phong Thợ Rèn,冯铁匠,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420132,Ngô Sương,吴霜,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420133,Thị Vệ Phùng Hóa,侍卫冯化,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420134,Đoạn Vĩ,段伟,Duan Wei,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420135,Tế Tự Liêu Chân,祭司廖真,Priest Liao Zhen,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420136,Lý Tân,李新,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420137,Triệu Uyển,赵婉,Zhao Wan,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420138,Thợ Săn Phó Dịch,猎人傅义,Hunter Fu Yi,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420139,Tần Lang,秦朗,Qin Lang,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420140,Chu Dịch Quan,周驿官,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420141,Giả Chính,贾正,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420142,Cổ Thạch Tiên Sư,古石仙师,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420143,Hồ Đại Phu,胡大夫,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420144,Tần Nguyên,秦元,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420145,Bình Phi,平飞,Gatherer Ping Fei,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420146,Đỗ Lam,杜蓝,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420147,Chủ Tiệm Tạp Hóa,杂货店老板,Grocery Store Owner,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420148,Thiên Cơ Ty Khảo,天机司考,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420149,Thánh Địa Chiến Trường,圣地战场,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420150,Tiêu Đầu,镖头,Escort Leader,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420151,Dương Thừa Lý,杨承礼,,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420152,Cao Kiện,高健,Gao Jian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
n420153,Tiêu Thiến,萧倩,Xiao Qian,,UNKNOWN,UNKNOWN,,zsNpc_language.dat name only; ModelID→obj join not found (MODELID_MAP_SPAWN_JOIN.md)
